"image","xmin","ymin","xmax","ymax","label"
"cam001.MP4#t=0.2.jpg",3612.725030826141,923.6842105263157,3840.0000000000005,1781.9012554068313,"tv"
"cam001.MP4#t=0.2.jpg",2542.6387176325525,1416.7598684210525,2927.7437191738595,2042.0230263157891,"child"
"cam001.MP4#t=0.2.jpg",2261.701699290999,605.1810174239308,2801.479751078915,1404.1283376593337,"plant"
"cam001.MP4#t=0.2.jpg",3429.6426094327994,2.0230745014391447,3628.5082074599263,1675.7073332134046,"camera_poll"
"cam001.MP4#t=0.2.jpg",2337.460022348952,295.7072850277549,2457.410604192355,1271.4967587119654,"camera_poll"
"cam001.MP4#t=0.2.jpg",2100.7152627928485,1167.2862323961758,2406.905248150432,1366.2336008172283,"cardboard"
"cam001.MP4#t=0.2.jpg",1769.2725994143034,1154.654701634457,1958.6684070591862,1353.6020700555096,"bag"
"cam001.MP4#t=0.2.jpg",1655.6351148273736,1290.444127133018,1927.102342786683,1413.60202186986,"cloth"
"cam001.MP4#t=0.2.jpg",1346.2885808415538,1309.3914955540706,1570.4070013871765,1432.5493902909127,"cloth"
"cam001.MP4#t=0.2.jpg",696.0295930949445,504.12833765933385,1295.783080302096,1416.7598684210525,"plant"
"cam001.MP4#t=0.2.jpg",102.58941989056721,902.023074501439,806.5105290536376,1877.8126927425985,"color_box"
"cam001.MP4#t=0.2.jpg",471.91131704685574,0,664.4636733199753,1514.654701634457,"camera_poll"
"cam001.MP4#t=0.2.jpg",320.3946709309495,122.0230504086143,475.06786567509255,927.2862805818255,"camera_poll"
"cam001.MP4#t=0.2.jpg",651.8373343094946,1843.0756578947364,976.9667559340322,1998.9473684210525,"slipper"
"cam001.MP4#t=0.4.jpg",3612.725030826141,926.3326653306613,3840.0000000000005,1784.5497102111767,"tv"
"cam001.MP4#t=0.4.jpg",2542.6387176325525,1416.7598684210525,2927.7437191738595,2042.0230263157891,"child"
"cam001.MP4#t=0.4.jpg",2235.697184618313,566.2231015922673,2860.4966139954854,1406.813627254509,"plant"
"cam001.MP4#t=0.4.jpg",3429.6426094327994,2.0230745014391447,3628.5082074599263,1675.7073332134046,"camera_poll"
"cam001.MP4#t=0.4.jpg",2337.460022348952,295.7072850277549,2457.410604192355,1271.4967587119654,"camera_poll"
"cam001.MP4#t=0.4.jpg",2100.7152627928485,1167.2862323961758,2406.905248150432,1366.2336008172283,"cardboard"
"cam001.MP4#t=0.4.jpg",1769.2725994143034,1154.654701634457,1958.6684070591862,1353.6020700555096,"bag"
"cam001.MP4#t=0.4.jpg",1655.6351148273736,1290.444127133018,1927.102342786683,1413.60202186986,"cloth"
"cam001.MP4#t=0.4.jpg",1346.2885808415538,1309.3914955540706,1570.4070013871765,1432.5493902909127,"cloth"
"cam001.MP4#t=0.4.jpg",696.0295930949445,504.12833765933385,1295.783080302096,1416.7598684210525,"plant"
